제목,언론사,검색결과 날짜,발행일,요약,본문,링크,이메일,전화번호
여주CC 캐디 부당해고 논란... 지노위 “정당한 계약해지” 판단에도 내홍 지속,경기일보,경기일보,발행일 추출 실패,"아울러 일부 전직 캐디들이 주장한 성희롱·직장 내 괴롭힘 의혹에 대해서도 “사실과 다르며, 필요 시 법적 대응에 나설 것”이라고 선을 그었다. 캐디들은 이번 결정에 반발하고 있다. 노동위의 판단이 계약 구조의 형식적 측면에만 초점을 맞춰 노동 실태와 관계성의 본질을 외면했다는 주장이다. 특히...",본문 추출 실패,https://www.kyeonggi.com/article/20250402580262,,
"(재)부산디자인진흥원, 부산광역시인권센터와 인권경영 협약체결",뉴스프리존,뉴스프리존,발행일 추출 실패,"이번 협약은 센텀지구 ESG 협의체 소속 기관인 게임물관리위원회, (재)부산정보산업진흥원, 영화진흥위원회, (재)영화의전당이 함께 참여했으며, 협약 기관들은 ▲인권경영∙인권교육 활성화 ▲직장 내 괴롭힘∙성평등 고충 상담과 자문 ▲인권 향상을 위한 정책 제안∙연구 ▲기타 상호 발전과 업무 협력 등을...",본문 추출 실패,https://www.newsfreezone.co.kr/news/articleView.html?idxno=618329,,
"청주시, 직원 대상 문화가 흐르는 청렴콘서트 개최",불교공뉴스,불교공뉴스,발행일 추출 실패,"행위 근절에 대한 특강을 통해 직원들이 청렴과 반부패에 대해 깊이 생각할 수 있는 시간이 됐다""고 말했다. 한편 시는 올해 청렴주니어보드, 청렴콘서트, 맞춤형 청렴교육, 청렴골든벨, 간부공무원 청렴도평가, 직장내 괴롭힘 진단 등 다양한 청렴시책을 통해 청렴청주를 만들어 나가는 데 온 힘을 기울이고 있다.",본문 추출 실패,http://www.bzeronews.com/news/articleView.html?idxno=705314,,
"영양교육지원청, 청렴 다짐식 및 청렴 교육 실시",CNB뉴스,CNB뉴스,발행일 추출 실패,"청렴 교육에서는 국민권익위원회 청렴연수원 전문강사로 활동하고 있는 이강숙 강사를 초빙해 청탁금지법, 공무원 행동강령, 직장내괴롭힘 금지. 적극행정 등 공직자가 준수해야 할 청렴 관련 법규와 사례 교육을 실시했다. 박근호 교육장은 “이번 청렴 다짐식 및 청렴 교육을 통해 영양교육지원청 전 직원이...",본문 추출 실패,https://www.cnbnews.com/news/article.html?no=716726,,
"게임위, 부산인권센터와 인권경영 협약",국민일보,국민일보,발행일 추출 실패,"이번 협약은 인권경영 및 교육의 활성화, 직장 내 괴롭힘 및 성평등 고충상담, 인권 향상을 위한 정책 제안 및 연구, 기타 상호 발전과 업무협력 등을 포함한다. 서태건 위원장은 “인권 존중을 기반으로 한 정책을 지속적으로 개발하고 실행해 나갈 것”이라고 밝혔다.","게임물관리위원회는 부산광역시인권센터와 인권 경영 활성화와 인권 존중 문화 확산을 취지로 한 업무 협약을 체결하였다.

이 협약은 센텀지구 ESG 협의체에 속한 기관들인 게임물관리위원회, 부산디자인진흥원, 부산정보산업진흥원, 영화진흥위원회, 영화의전당이 함께 참여했다.

협약식엔 서태건 게임위원장과 안성태 인권센터장이 참석해 협약서에 서명했다.

이번 협약은 인권경영 및 교육의 활성화, 직장 내 괴롭힘 및 성평등 고충상담, 인권 향상을 위한 정책 제안 및 연구, 기타 상호 발전과 업무협력 등을 포함한다.


서태건 위원장은 “인권 존중을 기반으로 한 정책을 지속적으로 개발하고 실행해 나갈 것”이라고 밝혔다.

이다니엘 기자 dne@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지",https://www.kmib.co.kr/article/view.asp?arcid=0027930506&code=61151111&cp=nv,dne@kmib.co.kr,
‘근로자’ 아니던 오요안나…직장내괴롭힘 ‘사각지대’ 해소 법안 12개 발의 내용은?,경향신문,경향신문,발행일 추출 실패,"직장 내 괴롭힘을 호소하며 숨진 기상캐스터 고 오요안나씨와 같은 프리랜서, 특수고용 노동자 등을 보호하기 위한 법안 개정 움직임이 활발히 이뤄지고 있다. 일부 개정안에서는 ‘지속성·반복성’을 추가하자는 주장이 나와 오히려 피해자의 신고 의지를 위축시킬 수 있다는 우려가 나온다. 직장갑질119가...",본문 추출 실패,https://www.khan.co.kr/article/202504021555001,,
"수원시, 공직 내 인권 의식 높이기 위해 직급별 인권교육 체계화",뉴스핌,뉴스핌,2025-03-31 17:43,"5급 공무원 '고위관리자 인권리더십 과정'(4월 10~11일, 17~18일)은 '까칠사회, 포용과 존엄이 함께하는 인권리더십'을 주제로 한 이창준 ㈜아그막 대표의 강의, 6급 공무원 대상 '중간 관리자 인권리더십 과정'(4월 2~4일)은 김성학 에듀웨이 대표( 예방교육 '갑(甲) 값하지 않는 인권'), 박진 전...",본문 추출 실패,https://www.newspim.com/news/view/20250402000699,,
"영화의전당, 부산광역시인권센터와 인권 경영 협약 체결",메트로신문,메트로신문,발행일 추출 실패,"이번 협약을 통해 영화의전당과 협약 기관들은 ▲인권 경영 및 인권 교육 활성화 ▲직장 내 괴롭힘 및 성평등 고충 상담 및 자문 ▲인권 향상을 위한 정책 제안 및 연구 ▲기타 상호 발전과 업무 협력 등을 추진하기로 했다. 영화의전당은 이번 협약을 통해 조직 내 인권 감수성을 높이고, 더 바람직한 근무 환경을...",본문 추출 실패,http://www.metroseoul.co.kr/article/20250402500397,,
"부산정보산업진흥원, 부산시인권센터와 '인권경영 문화 확산' 맞손",아시아경제,아시아경제,"영남취재본부 조충현기자
입력2025.04.02 14:25
시계아이콘
00분 36초 소요","협약에 따라 각 기관은 ▲인권경영 및 인권교육 활성화 ▲직장 내 괴롭힘과 성평등 고충 상담 및 자문 ▲인권 향상을 위한 정책 제안 및 연구 ▲기타 상호 발전과 협력 활동 등을 적극 추진키로 했다. 김태열 부산정보산업진흥원장은 ""인권감수성은 지속가능한 조직 운영의 핵심 가치""라며, ""이번 협약을 계기로...","""인권존중 실천 상호 협력 강화""

센텀지구 ESG협의체 공동실천
부산정보산업진흥원(원장 김태열)은 지난 1일 부산시인권센터(센터장 안성태)와 '인권경영 활성화 및 인권 존중 문화 확산'을 위한 업무 협약을 체결했다.

이 협약은 부산 센텀지구 ESG 협의체 소속 게임물관리위원회, 부산디자인진흥원, 영화의전당, 영화진흥위원회가 함께 참여해 인권경영 가치의 확산에 공동으로 나섰다는 점에서 의미가 크다.
협약에 따라 각 기관은 ▲인권경영 및 인권교육 활성화 ▲직장 내 괴롭힘과 성평등 고충 상담 및 자문 ▲인권 향상을 위한 정책 제안 및 연구 ▲기타 상호 발전과 협력 활동 등을 적극 추진키로 했다.

김태열 부산정보산업진흥원장은 ""인권감수성은 지속가능한 조직 운영의 핵심 가치""라며, ""이번 협약을 계기로 실효성 있는 인권경영을 실천하고 직원들의 권리 보호와 존중 강화를 위한 구체적 노력을 이어가겠다""고 말했다.

협약식 이후 영화의전당에서는 부산시인권센터 이수영 위촉 강사의 인권교육이 진행됐으며 교육 후에는 인권 관련 영화 '세인트 주디'를 함께 관람했다. 참여자들은 영화 관람을 통해 교육 내용을 더욱 깊이 이해하고 인권의식 내면화와 실천 의지를 다지는 시간을 가졌다.
진흥원 관계자는 ""이번 협약과 교육은 인권존중 문화를 확산하고 실천 가능한 인권경영 체계를 공고히 하기 위한 노력의 하나로 향후 부산지역 공공기관들의 인권경영 강화에 더 힘싣는 계기가 될 것으로 기대된다""고 전했다.
부산정보산업진흥원이 부산시인권센터 등과 '인권경영 문화 확산' 협약을 체결하고 있다.
AD
원본보기 아이콘




영남취재본부 조충현 기자 jchyoung@asiae.co.kr
AD
꼭 봐야할 주요뉴스
""尹, 8대 0 만장일치 파면 확실""…前 법무부 감찰...
마스크영역
""올해 두 배 뛸 것…비트코인보다 유망""…'부자아빠'가 찍은 투자처는
""임영웅 콘서트보다 심해…3시간30분만에 성공"" 尹 선고일 관심 폭주
개인 방송 중 ""누구 죽이고 싶다""…28분 만에 검거된 40대 유튜버
""800만원을 가장 멍청하게 쓰는 법""…서민 우롱설까지 나온 이것은 '컵인가, 가방인가...
<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2025040214222160999,jchyoung@asiae.co.kr,
국민검증단 통해 쉽게 쓴 '노동법 해설서' 나왔다,오마이뉴스,오마이뉴스,25.04.02 14:23,"이 책은 ▲근로자성 인정 여부 등 ▲근로계약의 체결과 변동 ▲근로계약의 종료(징계와 해고, 퇴직) ▲직장 내 괴롭힘, 직장 내 성희롱 ▲근로조건 보호(임금, 근로시간, 휴일, 휴가 등) ▲비정규직 보호 ▲노동위원회 구제제도 ▲집단적 노사관계 등의 주제를 다루었다. 또한 각 주제마다 구체적인 현안들을 쪼개...",본문 추출 실패,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003115556&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,,
"""이 순간에도 돈 버는 극우유튜버·사이버렉카·유튜브만 승리자""",미디어오늘언론사 선정,미디어오늘언론사 선정,발행일 추출 실패,"'사이버렉카'들로부터 괴롭힘을 당한 유튜버 쯔양은 ""제가 죽어야 끝나는 건가요""라고 물었다. 고인이 된 김새론씨의 사생활을 다루는 유튜브 콘텐츠는... 일반인으로 따지면 직장을 잃은 거다. 직장을 잃고 언제 다시 복귀할 수 있는지 결정하는 게 제3자라고 생각해봐라. 얼마나 우울한가. 구조적인 문제다....",본문 추출 실패,https://www.mediatoday.co.kr/news/articleView.html?idxno=325337,,
김해문화관광재단의 새로운 시도 '체험형 청렴교육',뉴스경남,뉴스경남,발행일 추출 실패,"지난 3월 31일 김해가야테마파크에서 진행된 이번 교육은 청탁금지법과 이해충돌방지법에 대한 이해도를 높이고 직장 내 괴롭힘 방지 등 청렴의식을 고양하기 위해 마련됐다. 혁신적인 청렴교육 프로그램 운영 김해문화관광재단, 김해도시개발공사, 김해시의생명산업진흥원, 김해복지재단 임직원 60명이 참여한...",본문 추출 실패,https://www.newsgn.com/news/articleView.html?idxno=474737,,
"부산디자인진흥원-부산시인권센터, 인권경영 활성화 맞손",시사매거진,시사매거진,발행일 추출 실패,"협약에 따라 각 기관은 ▲인권경영 및 인권교육 활성화 ▲직장 내 괴롭힘과 성평등 관련 고충 상담 및 자문 ▲인권 증진을 위한 정책 제안 및 연구 ▲기타 상호 협력 과제를 공동 추진할 예정이다. 부산디자인진흥원은 이번 협약을 통해 조직 내 인권 감수성을 높이고, 건강한 근무 환경 조성에 나설 계획이다....",본문 추출 실패,https://www.sisamagazine.co.kr/news/articleView.html?idxno=512655,,
"부산정보산업진흥원, 부산시인권센터와 '인권경영 문화 확산' 맞손",부산일보,부산일보,2025.04.02 (수),"협약에 따라 각 기관은 △인권경영 및 인권교육 활성화 △직장 내 괴롭힘과 성평등 고충 상담 및 자문 △인권 향상을 위한 정책 제안 및 연구 △기타 상호 발전과 협력 활동 등을 적극 추진하기로 했다. 김태열 부산정보산업진흥원장은 ""인권감수성은 지속가능한 조직 운영의 핵심 가치""라며 ""이번 협약을 계기로...",본문 추출 실패,https://www.busan.com/view/busan/view.php?code=2025040213543360521,,
"수원시, ‘공직자 인권교육 제도화’로 인권행정 실현",신아일보,신아일보,발행일 추출 실패,"5급 공무원 ‘고위관리자 인권리더십 과정’(4월 10~11일‧17~18일)은 ‘까칠사회, 포용과 존엄이 함께하는 인권리더십’을 주제로 한 이창준 ㈜아그막 대표의 강의, 6급 공무원 대상 ‘중간 관리자 인권리더십 과정’(4월 2~4일)은 김성학 에듀웨이 대표(직장 내 괴롭힘 예방교육 ‘갑(甲) 값하지 않는 인권’...",본문 추출 실패,http://www.shinailbo.co.kr/news/articleView.html?idxno=2031029,,
"“휴지 없어, 화장실 청소도 해”…‘치사’한 트럼프의 작은 정부 [뉴스in뉴스]",KBS언론사 선정,KBS언론사 선정,발행일 추출 실패,"이 일이 끝날 때쯤 머스크는 1조 달러는 더 감축할 겁니다.""] 그런데 화장실 휴지도 안 주는 거, 매우 치사하고, 사실 직장 내 괴롭힘이잖아요. 결국 자체 퇴사를 유도하겠다, 이런 그림인데 실제로 트럼프는 이 같은 불편한 상황으로 인해 많은 사람들이 출근하지 않으면 정부는 더 작고 효율적이 될 거라고...",본문 추출 실패,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8216886&ref=A,,
"부산정보산업진흥원, 부산시인권센터와 '인권경영 문화 확산' 맞손",국제뉴스,국제뉴스,발행일 추출 실패,"협약에 따라 각 기관은 △인권경영 및 인권교육 활성화 △직장 내 괴롭힘과 성평등 고충 상담 및 자문 △인권 향상을 위한 정책 제안 및 연구 △기타 상호 발전과 협력 활동 등을 적극 추진하기로 했다. 김태열 부산정보산업진흥원장은 ""인권 감수성은 지속 가능한 조직 운영의 핵심 가치""라며 ""이번 협약을...",본문 추출 실패,https://www.gukjenews.com/news/articleView.html?idxno=3239856,,
"게임위, 부산시광역시인권센터와 인권경영 협약 체결",NSP통신,NSP통신,발행일 추출 실패,"이번 협약은 인권경영 및 교육의 활성화, 직장 내 괴롭힘 및 성평등 고충상담, 그리고 인권 향상을 위한 정책 제안 및 연구, 기타 상호 발전과 업무협력 등을 포함한다. 또 협약식 이후에는 ‘영화로 만나는 인권 감수성’이라는 주제로 교육을 직원대상으로 진행되고 이를 통해 직원들의 인권 감수성을 높이고...",본문 추출 실패,https://www.nspna.com/news/?mode=view&newsid=747900,,
"부산정보산업진흥원·부산시인권센터, '인권경영 문화 확산' 맞손",전국매일신문,전국매일신문,발행일 추출 실패,"협약에 따라 각 기관은 ▲인권경영 및 인권교육 활성화 ▲직장 내 괴롭힘과 성평등 고충 상담 및 자문 ▲인권 향상을 위한 정책 제안 및 연구 ▲기타 상호 발전과 협력 활동 등을 적극 추진하기로 했다. 김태열 부산정보산업진흥원장은 ""인권감수성은 지속가능한 조직 운영의 핵심 가치""라며, ""이번 협약을 계기로...",본문 추출 실패,https://www.jeonmae.co.kr/news/articleView.html?idxno=1133917,,
[수원시 소식] 전 직원 대상 '인권교육과정' 마련·수원시립공연단 권호성 예술감독 재위촉·수원시-수원도시공사 '탑동 이노베이션밸리 사업 협업체계' 구축,뉴스웍스,뉴스웍스,발행일 추출 실패,"5급 공무원 '고위관리자 인권리더십 과정(4월 10~11일, 17~18일)'은 '까칠사회, 포용과 존엄이 함께하는 인권리더십'을 주제로 이창준 아그막 대표의 강의, 6급 공무원 대상 '중간 관리자 인권리더십 과정(4월 2~4일)'은 김성학 에듀웨이 대표( 예방교육 '갑(甲) 값하지 않는 인권'), 박진 전...",본문 추출 실패,https://www.newsworks.co.kr/news/articleView.html?idxno=790525,,
